rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
234,Denis Shapovalov,Canada,CAN,true,1999-04-15,8,8,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105-86,2075,2020-01-13,55.0%
234,Goran Prpic,Croatia,CRO,false,1964-05-04,8,8,0,0,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,126-121,2081,1991-05-20,51.0%
234,John Lloyd,United Kingdom,GBR,false,1954-08-27,8,8,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,217-272,2027,1978-06-26,44.4%
234,Patrick Proisy,France,FRA,false,1949-09-10,8,8,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,224-194,1972,1973-07-22,53.6%
253,Dmitry Tursunov,Russian Federation,RUS,false,1982-12-12,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,231-218,2042,2008-10-06,51.4%
253,Luiz Mattar,Brazil,BRA,false,1963-08-18,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,191-178,1944,1994-05-16,51.8%
253,Albert Montanes,Spain,ESP,false,1980-11-26,7,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,255-287,2019,2010-11-01,47.0%
253,Martin Mulligan,Australia,AUS,false,1940-10-18,7,7,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,109-64,2136,1969-05-26,63.0%
253,Heinz Gunthardt,Switzerland,SUI,false,1959-02-08,7,7,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,248-207,2075,1980-07-14,54.5%
253,Ion Tiriac,Romania,ROU,false,1939-05-09,7,7,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,227-198,2058,1968-07-15,53.4%
253,Alex De Minaur,Australia,AUS,true,1999-02-17,7,7,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,84-60,2061,2020-09-14,58.3%
253,Andrew Pattison,United States,USA,false,1949-01-30,7,7,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,284-261,2060,1976-02-15,52.1%
253,Hans Gildemeister,Chile,CHI,false,1956-02-09,7,7,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,212-144,2104,1979-12-21,59.6%
253,Javier Sanchez,Spain,ESP,false,1968-02-01,7,7,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,326-334,1989,1993-09-13,49.4%
253,Karl Meiler,Germany,GER,false,1949-04-30,7,7,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,253-192,2015,1976-08-16,56.9%
253,Brian Fairlie,New Zealand,NZL,false,1948-06-13,7,7,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,231-228,2023,1973-04-16,50.3%
253,Carl Uwe Steeb,Germany,GER,false,1967-09-01,7,7,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,212-212,2063,1990-02-19,50.0%
253,Jan Michael Gambill,United States,USA,false,1977-06-03,7,7,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,201-196,2091,2001-03-30,50.6%
253,Mel Purcell,United States,USA,false,1959-07-18,7,7,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,191-164,2088,1981-10-12,53.8%
253,Robby Ginepri,United States,USA,false,1982-10-07,7,7,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,188-204,2057,2005-10-24,48.0%
253,Agustin Calleri,Argentina,ARG,false,1976-09-14,7,7,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,209-187,2043,2003-05-19,52.8%
253,Florian Mayer,Germany,GER,false,1983-10-05,7,7,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,243-261,2044,2011-11-14,48.2%
253,Hicham Arazi,Morocco,MAR,false,1973-10-19,7,7,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,221-226,2025,2002-01-07,49.4%
272,Manuel Santana,Spain,ESP,false,1938-05-10,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,110-44,2157,1969-08-18,71.4%
272,Marcelo Filippini,Uruguay,URU,false,1967-08-04,6,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,248-252,1971,1997-05-26,49.6%
272,Thomaz Koch,Brazil,BRA,false,1945-05-11,6,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,211-164,2031,1971-04-29,56.3%
272,Bernard Tomic,Australia,AUS,true,1992-10-21,6,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,186-182,2037,2016-02-01,50.5%
272,Butch Walts,United States,USA,false,1955-06-04,6,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,142-136,2039,1980-01-21,51.1%
272,Jacco Eltingh,Netherlands,NED,false,1970-08-29,6,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,127-147,2028,1995-07-10,46.4%
272,Marcel Granollers,Spain,ESP,true,1986-04-12,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,202-250,2004,2013-11-04,44.7%
272,Pablo Andujar,Spain,ESP,true,1986-01-23,6,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,145-212,1929,2015-07-13,40.6%
272,Paul Henri Mathieu,France,FRA,false,1982-01-12,6,6,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,276-306,2082,2007-08-12,47.4%
272,Richard Fromberg,Australia,AUS,false,1970-04-28,6,6,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,256-287,1965,1990-08-13,47.1%
272,Taylor Dent,United States,USA,false,1981-04-24,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,151-140,2040,2004-02-02,51.9%
272,Fernando Meligeni,Brazil,BRA,false,1971-04-12,6,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,202-217,2021,1999-06-07,48.2%
272,Franco Squillari,Argentina,ARG,false,1975-08-22,6,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,155-165,2009,2000-07-24,48.4%
272,Igor Andreev,Russian Federation,RUS,false,1983-07-14,6,6,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,237-231,2062,2008-09-08,50.6%
272,Joachim Johansson,Sweden,SWE,false,1982-07-01,6,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,72-59,2074,2005-02-14,55.0%
272,Jose Acasuso,Argentina,ARG,false,1982-10-20,6,6,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,193-183,2011,2006-08-14,51.3%
272,Nikoloz Basilashvili,Georgia,GEO,true,1992-02-23,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,98-116,1990,2019-01-07,45.8%
272,Paul Annacone,United States,USA,false,1963-03-20,6,6,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,157-130,2055,1985-10-21,54.7%
272,Peter Lundgren,Sweden,SWE,false,1965-01-29,6,6,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,119-136,2010,1987-11-09,46.7%
272,Richey Reneberg,United States,USA,false,1965-10-05,6,6,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,307-263,2064,1996-06-24,53.9%
272,Viktor Troicki,Serbia,SRB,true,1986-02-10,6,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,294-271,2091,2011-04-17,52.0%
272,Andrei Cherkasov,Russian Federation,RUS,false,1970-07-04,6,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,193-214,2063,1991-06-10,47.4%
272,Bernd Karbacher,Germany,GER,false,1968-04-03,6,6,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,135-161,2007,1995-08-21,45.6%
272,Byron Black,Zimbabwe,ZIM,false,1969-10-06,6,6,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,276-248,2008,1998-07-06,52.7%
272,David Pate,United States,USA,false,1962-04-16,6,6,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,181-168,2023,1987-06-15,51.9%
272,Francois Jauffret,France,FRA,false,1942-02-09,6,6,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,212-140,2026,1976-06-14,60.2%
272,Juan Gisbert,Spain,ESP,false,1942-04-05,6,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,213-159,1985,1972-03-12,57.3%
272,Martin Verkerk,Netherlands,NED,false,1978-10-31,6,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,59-70,1980,2003-06-09,45.7%
272,Paul Mcnamee,Australia,AUS,false,1954-11-12,6,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,245-230,2032,1983-06-13,51.6%
272,Paul Haarhuis,Netherlands,NED,false,1966-02-19,6,6,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,267-258,2046,1994-04-01,50.9%
272,Vincent Spadea,United States,USA,false,1974-07-19,6,6,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,311-359,2034,1999-09-13,46.4%
303,Albert Portas,Spain,ESP,false,1973-11-15,5,5,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,142-198,1993,2001-05-21,41.8%
303,Guillermo Garcia Lopez,Spain,ESP,false,1983-06-04,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,297-354,2009,2010-10-17,45.6%
303,Christian Garin,Chile,CHI,true,1996-05-30,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,60-54,1972,2020-02-24,52.6%
303,Jiri Hrebec,Czech Republic,CZE,false,1950-09-19,5,5,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,185-178,2013,1974-04-14,51.0%
303,Steve Johnson,United States,USA,true,1989-12-24,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,169-169,2042,2017-06-12,50.0%
303,Thomaz Bellucci,Brazil,BRA,true,1987-12-30,5,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,200-217,1996,2010-07-26,48.0%
303,Andrea Gaudenzi,Italy,ITA,false,1973-07-30,5,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,219-231,2033,1995-05-15,48.7%
303,Andreas Seppi,Italy,ITA,true,1984-02-21,5,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,377-406,2030,2013-07-08,48.1%
303,Benoit Paire,France,FRA,true,1989-05-08,5,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,225-244,2003,2016-01-11,48.0%
303,Bohdan Ulihrach,Czech Republic,CZE,false,1975-02-23,5,5,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,230-246,2016,1998-11-02,48.3%
303,Kenneth Carlsen,Denmark,DEN,false,1973-04-17,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,267-288,1944,1995-10-16,48.1%
303,Marco Cecchinato,Italy,ITA,true,1992-09-30,5,5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,48-88,1953,2018-07-23,35.3%
303,Ronald Agenor,United States,USA,false,1964-11-13,5,5,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,227-257,2017,1988-08-01,46.9%
303,Slava Dosedel,Czech Republic,CZE,false,1970-08-14,5,5,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,196-193,2009,1998-05-25,50.4%
303,Victor Amaya,United States,USA,false,1954-07-02,5,5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,187-173,2108,1980-04-29,51.9%
303,Xavier Malisse,Belgium,BEL,false,1980-07-19,5,5,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,294-274,2035,2002-09-27,51.8%
303,Albert Ramos,Spain,ESP,true,1988-01-17,5,5,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,225-248,2014,2017-05-01,47.6%
303,Bob Giltinan,Australia,AUS,false,1949-04-07,5,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,85-115,1864,1974-01-09,42.5%
303,Buster C Mottram,United Kingdom,GBR,false,1955-04-25,5,5,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,301-181,2068,1979-02-26,62.4%
303,Darren Cahill,Australia,AUS,false,1965-10-02,5,5,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,133-122,2050,1991-03-11,52.2%
303,Filip Dewulf,Belgium,BEL,false,1972-03-15,5,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,97-125,1968,1998-08-03,43.7%
303,Jarkko Nieminen,Finland,FIN,false,1981-07-23,5,5,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,408-348,2034,2006-07-28,54.0%
303,Leonardo Mayer,Argentina,ARG,true,1987-05-15,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,179-196,1999,2014-09-19,47.7%
303,Renzo Furlan,Italy,ITA,false,1970-05-17,5,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,223-240,2021,1996-07-29,48.2%
303,Georges Goven,France,FRA,false,1948-04-26,5,5,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,195-229,2005,1972-02-13,46.0%
303,Pat Dupre,United States,USA,false,1954-09-16,5,5,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,182-198,2094,1979-09-11,47.9%
303,Raymond Moore,South Africa,RSA,false,1946-08-24,5,5,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,341-381,1995,1977-09-14,47.2%
303,Tom Gullikson,United States,USA,false,1951-09-08,5,5,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,219-225,1965,1978-11-13,49.3%
303,Frank Froehling,United States,USA,false,1942-05-19,5,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80-112,1968,1971-10-15,41.7%
332,Roberto Carretero,Spain,ESP,false,1975-08-30,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,23-45,1913,1996-05-13,33.8%
332,Gerald Battrick,United Kingdom,GBR,false,1947-05-27,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,171-199,1984,1972-02-27,46.2%
332,Horacio De La Pena,Argentina,ARG,false,1966-08-01,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,190-180,1981,1986-08-25,51.4%
332,Marty Davis,United States,USA,false,1958-11-15,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,157-173,1959,1986-02-24,47.6%
332,Nicolas Mahut,France,FRA,true,1982-01-21,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,181-225,1970,2013-09-23,44.6%
332,Sergiy Stakhovsky,Ukraine,UKR,true,1986-01-06,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,172-213,1947,2010-08-29,44.7%
332,Fernando Vicente,Spain,ESP,false,1977-03-08,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,157-213,1932,1999-08-02,42.4%
332,Franco Davin,Argentina,ARG,false,1970-01-11,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,153-155,1999,1990-10-08,49.7%
332,Jurgen Fassbender,Germany,GER,false,1948-05-28,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,182-166,2000,1973-07-09,52.3%
332,Kelly Evernden,New Zealand,NZL,false,1961-09-21,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,136-147,2001,1987-10-12,48.1%
332,Nicklas Kulti,Sweden,SWE,false,1971-04-22,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,154-182,1970,1991-01-07,45.8%
332,Peter Feigl,Austria,AUT,false,1951-11-30,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,120-126,1959,1979-06-22,48.8%
332,Stefan Koubek,Austria,AUT,false,1977-01-02,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,215-253,1970,2000-03-06,45.9%
332,Dan Goldie,United States,USA,false,1963-10-03,4,4,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,122-117,2004,1988-04-25,51.0%
332,Davide Sanguinetti,Italy,ITA,false,1972-08-25,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,170-244,1938,2002-03-29,41.1%
332,Federico Delbonis,Argentina,ARG,true,1990-10-05,4,4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,132-156,1953,2016-04-11,45.8%
332,Gilles Muller,Luxembourg,LUX,false,1983-05-09,4,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,232-213,2098,2017-07-17,52.1%
332,Karim Alami,Morocco,MAR,false,1973-05-24,4,4,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,163-187,1969,2000-02-14,46.6%
332,Kyle Edmund,United Kingdom,GBR,true,1995-01-08,4,4,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,116-115,2038,2018-10-22,50.2%
332,Mark Dickson,United States,USA,false,1959-12-08,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,128-119,1975,1984-11-26,51.8%
332,Barry Phillips Moore,Australia,AUS,false,1937-07-09,4,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200-223,1932,1972-07-29,47.3%
332,Derrick Rostagno,United States,USA,false,1965-10-25,4,4,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,191-184,2070,1991-10-14,50.9%
332,Jan Gunnarsson,Sweden,SWE,false,1962-05-30,4,4,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,188-203,1979,1987-08-03,48.1%
332,Patrick McEnroe,United States,USA,false,1966-07-01,4,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,140-163,1994,1995-10-09,46.2%
332,Rod Frawley,Australia,AUS,false,1952-09-08,4,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109-136,1951,1982-04-05,44.5%
332,Jerzy Janowicz,Poland,POL,false,1990-11-13,4,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102-95,2027,2013-08-12,51.8%
332,John Marks,Australia,AUS,false,1952-12-09,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28-81,1872,1979-01-09,25.7%
332,Julien Benneteau,France,FRA,false,1981-12-20,4,4,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272-297,2027,2013-02-18,47.8%
332,Pierre Barthes,France,FRA,false,1941-09-13,4,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182-184,2126,1968-02-23,49.7%
361,Alberto Martin,Spain,ESP,false,1978-08-20,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,218-269,1963,2001-05-21,44.8%
361,Damir Dzumhur,Bosnia and Herzegovina,BIH,true,1992-05-20,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,116-127,1994,2017-10-23,47.7%
361,David Prinosil,Germany,GER,false,1973-03-09,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,169-221,1963,2000-11-20,43.3%
361,Javier Frana,Argentina,ARG,false,1966-12-25,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,163-158,2037,1995-06-26,50.8%
361,Joao Sousa,Portugal,POR,true,1989-03-30,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,195-225,1974,2016-02-01,46.4%
361,Mario Martinez,"Bolivia, Plurinational State of",BOL,false,1961-09-12,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,90-79,1950,1981-08-04,53.3%
361,Mike Bauer,United States,USA,false,1959-06-29,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,75-91,1935,1984-04-16,45.2%
361,Paolo Cane,Italy,ITA,false,1965-04-09,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,136-131,2009,1989-08-07,50.9%
361,Pedro Rebolledo,Chile,CHI,false,1960-12-17,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,111-114,1946,1982-02-01,49.3%
361,Robert Maud,South Africa,RSA,false,1946-08-12,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,101-126,1921,1971-06-14,44.5%
361,Van Winitsky,United States,USA,false,1959-03-12,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,106-134,1986,1982-05-04,44.2%
361,Victor Estrella,Dominican Republic,DOM,false,1980-08-02,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,80-79,1902,2015-05-04,50.3%
361,Brad Drewett,Australia,AUS,false,1958-07-19,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,179-225,1905,1984-05-13,44.3%
